Product_ID,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52,week53
P1,1395,1317,1388,876,1281,705,1267,584,642,402,535,420,736,683,525,742,838,553,641,1186,591,877,1056,768,825,1120,806,687,683,742,754,748,976,399,497,565,686,542,727,661,561,553,389,669,542,481,475,450,698,610,630,502
P2,896,1275,995,749,1240,738,572,366,930,424,584,256,462,671,322,774,518,280,494,694,847,665,770,680,455,462,542,536,736,360,375,449,343,288,125,553,433,417,169,536,645,662,208,472,424,372,521,479,396,447,424,428
P3,384,238,317,167,327,439,148,232,159,302,158,47,237,111,143,309,170,95,232,75,90,201,191,48,232,53,117,148,138,5,138,16,125,47,37,224,83,47,40,77,90,107,122,18,174,202,69,121,153,182,83,189
P4,2699,2086,3299,1654,1886,1592,1452,1059,1030,790,941,841,997,1768,2067,1807,1154,1034,2070,1468,1002,2426,1831,2220,1492,946,996,1549,1129,1054,843,1058,1362,1643,1772,1946,1787,3869,1868,1220,1778,1293,1724,1759,2785,951,1968,3307,2353,1255,968,1096
P5,2289,2431,2263,1385,1503,1981,1779,967,1995,914,1981,960,1090,2034,1642,1429,865,1111,1626,746,1656,863,1242,912,849,806,580,659,583,783,506,334,610,927,1516,1193,1153,752,921,666,962,955,726,916,840,767,1360,381,1294,760,684,675
P6,595,574,1359,955,764,1248,615,903,971,1150,723,1020,869,712,1466,1200,1286,796,1397,2110,1062,2018,1522,576,842,967,1269,566,919,799,520,930,436,422,1128,1053,501,945,681,1607,1737,1054,893,1145,635,1028,556,1599,2185,2187,1125,608
P7,842,875,742,824,954,900,506,877,614,669,586,672,755,760,531,734,465,678,577,568,551,855,928,914,649,1143,869,640,863,852,538,836,725,751,813,614,791,617,579,714,496,851,1065,804,825,706,973,667,866,764,516,989
P8,180,73,103,106,172,81,219,89,56,114,59,97,92,99,307,33,115,106,86,78,62,93,271,187,110,237,66,54,71,65,81,43,35,34,8,50,95,58,323,115,373,318,56,101,124,106,156,241,211,135,95,73
P9,578,558,1599,648,654,884,644,762,549,78,1390,703,834,592,605,735,325,706,1154,456,617,887,805,368,839,627,1846,170,356,619,711,350,549,539,1520,261,929,503,801,189,489,646,562,463,577,410,482,407,921,632,598,494
P10,305,412,561,178,391,372,395,121,388,195,225,79,90,531,248,273,58,106,122,90,232,185,138,248,180,111,134,138,161,106,149,189,63,146,133,137,127,265,53,231,216,396,106,211,439,159,175,164,146,96,201,137
P11,1028,490,1000,519,688,867,471,635,391,436,202,370,395,269,356,349,333,368,470,471,571,439,600,505,1089,420,486,529,420,280,116,69,609,432,426,495,510,374,422,644,440,589,301,227,335,435,570,323,639,328,296,397
P12,1750,2614,2341,1338,1582,2010,2052,1919,2357,1665,2100,1534,2025,1229,2444,1372,1601,1516,2109,1708,2294,2036,1522,1036,1612,1047,1082,768,931,527,1120,718,723,1160,2245,2541,1425,1513,862,1086,1124,1396,891,1296,1178,934,2240,1629,1432,976,1310,1390
P13,5444,5284,6429,5444,8124,6172,5317,4675,3247,3206,2909,1445,3027,3111,2350,4024,2410,2240,3174,2799,2486,3358,4539,4262,2760,1673,2114,2609,2866,761,1810,2016,1006,1387,2403,1804,1209,2012,812,1953,2321,2106,1597,1903,3039,3919,3711,4225,2616,4025,2530,5123
P14,5341,5737,5540,4274,2965,3354,4239,3502,3476,2444,2691,2311,2463,2204,3336,4655,2047,3129,4339,3991,2969,8232,4742,3533,4694,4372,4064,5554,4251,3118,3825,4565,4214,4106,4779,5559,5148,4014,6594,6647,6114,7757,3255,7394,5530,5084,7457,5846,5764,6159,4705,6651
P15,189,102,110,85,148,107,102,117,143,93,123,106,93,34,110,106,207,127,93,81,80,76,215,161,72,152,51,140,126,118,173,8,25,42,93,161,84,135,76,101,38,132,68,190,46,148,84,147,93,195,102,165
